income,age,credit_score,employment_years,approved
141958,46,570,10,1
130268,38,421,18,0
57194,28,387,3,1
36023,20,608,1,1
82955,47,685,0,1
105305,39,552,11,0
126970,59,775,15,1
85725,20,784,18,1
116276,26,466,17,1
28792,31,541,8,0
88148,19,639,14,0
144358,25,334,13,0
112067,57,687,1,0
97189,59,776,17,1
91211,51,501,3,0
52606,32,755,13,1
111387,57,637,14,1
106807,43,516,12,0
58044,32,364,6,0
140151,18,771,10,1
59504,25,718,0,0
58660,59,530,8,1
42662,26,332,15,0
55222,41,398,11,1
30965,44,846,0,0
133252,31,304,13,0
141626,26,506,14,0
142409,30,540,19,0
130687,21,784,6,1
87214,46,335,12,1
101734,39,327,11,1
45939,47,630,6,1
43776,18,676,19,1
75016,20,658,5,0
25530,26,617,4,0
118098,59,673,8,0
74384,29,809,6,1
109474,54,380,16,0
123041,45,524,0,0
66717,19,352,11,0
124095,23,715,3,1
118506,34,593,4,1
126081,23,810,15,0
45184,26,423,5,1
35708,20,702,2,0
126642,37,788,0,1
91295,56,637,7,1
21802,45,772,17,0
41918,47,597,2,0
66843,33,645,15,1
36371,19,603,11,0
137796,49,308,8,0
62642,33,430,19,1
140885,50,719,5,0
81267,52,411,2,0
132476,35,637,1,0
146114,33,460,3,0
139181,38,803,7,1
119522,34,332,15,1
127450,39,674,13,1
99909,55,664,18,1
25895,44,326,1,0
74045,50,583,14,1
25600,22,815,2,1
129616,34,471,13,0
63525,52,336,16,0
65236,48,398,0,1
85726,38,460,2,1
46641,42,622,7,1
56631,49,454,9,0
65017,34,403,0,0
98069,56,776,9,1
69689,52,707,12,0
107545,24,335,12,1
22368,25,811,13,1
96429,29,770,14,0
52097,19,350,16,1
90313,23,353,10,1
112772,50,563,11,1
134692,56,495,5,0
78335,47,346,2,0
92615,33,568,17,1
131721,47,419,18,1
123481,43,773,8,0
94740,18,357,0,0
145729,49,417,15,0
65543,18,571,6,1
29662,22,546,2,1
138937,33,734,4,1
